RID,Group,Sex,Age,Days,Session,Weight_kg,Condition_day,Condition,EtOH,H2O,Phase,Batch
101,Alc,male,54,8,4,0.304,H2O,24_hrs,89,100,Model,6
102,Ctrl,male,54,8,4,0.247,H2O,24_hrs,117,88,Model,6
103,Alc,male,54,8,4,0.3,H2O,24_hrs,91,96,Model,6
105,Ctrl,male,54,8,4,0.292,H2O,24_hrs,122,60,Model,6
106,Ctrl,male,54,8,4,0.272,H2O,24_hrs,118,76,Model,6
107,Alc,male,54,8,4,0.247,H2O,24_hrs,112,91,Model,6
109,Ctrl,male,54,8,4,0.255,H2O,24_hrs,124,76,Model,6
110,Alc,male,54,8,4,0.277,H2O,24_hrs,57,114,Model,6
88,Alc,female,55,9,5,0.202,EtOH,start,121,123,Model,6
89,Ctrl,female,55,9,5,0.213,EtOH,start,119,115,Model,6
90,Ctrl,female,55,9,5,0.203,EtOH,start,119,121,Model,6
92,Ctrl,female,55,9,5,0.23,EtOH,start,122,117,Model,6
93,Ctrl,female,55,9,5,0.203,EtOH,start,120,113,Model,6
94,Alc,female,55,9,5,0.207,EtOH,start,119,116,Model,6
97,Alc,female,55,9,5,0.144,EtOH,start,123,119,Model,6
99,Alc,female,55,9,5,0.242,EtOH,start,124,120,Model,6
101,Alc,male,55,9,5,0.326,EtOH,start,121,114,Model,6
102,Ctrl,male,55,9,5,0.256,EtOH,start,121,115,Model,6
103,Alc,male,55,9,5,0.31,EtOH,start,119,119,Model,6
105,Ctrl,male,55,9,5,0.302,EtOH,start,120,116,Model,6
106,Ctrl,male,55,9,5,0.291,EtOH,start,120,114,Model,6
107,Alc,male,55,9,5,0.258,EtOH,start,125,120,Model,6
109,Ctrl,male,55,9,5,0.257,EtOH,start,126,115,Model,6
110,Alc,male,55,9,5,0.259,EtOH,start,120,119,Model,6
88,Alc,female,55,9,5,0.202,EtOH,30_mins,121,122,Model,6
89,Ctrl,female,55,9,5,0.213,EtOH,30_mins,117,118,Model,6
90,Ctrl,female,55,9,5,0.203,EtOH,30_mins,119,122,Model,6
92,Ctrl,female,55,9,5,0.23,EtOH,30_mins,122,117,Model,6
93,Ctrl,female,55,9,5,0.203,EtOH,30_mins,119,116,Model,6
94,Alc,female,55,9,5,0.207,EtOH,30_mins,119,118,Model,6
97,Alc,female,55,9,5,0.144,EtOH,30_mins,123,121,Model,6
99,Alc,female,55,9,5,0.242,EtOH,30_mins,124,123,Model,6
101,Alc,male,55,9,5,0.326,EtOH,30_mins,120,116,Model,6
102,Ctrl,male,55,9,5,0.256,EtOH,30_mins,121,115,Model,6
103,Alc,male,55,9,5,0.31,EtOH,30_mins,117,119,Model,6
105,Ctrl,male,55,9,5,0.302,EtOH,30_mins,119,118,Model,6
106,Ctrl,male,55,9,5,0.291,EtOH,30_mins,119,117,Model,6
107,Alc,male,55,9,5,0.258,EtOH,30_mins,123,120,Model,6
109,Ctrl,male,55,9,5,0.257,EtOH,30_mins,126,118,Model,6
110,Alc,male,55,9,5,0.259,EtOH,30_mins,119,118,Model,6
88,Alc,female,55,9,5,0.202,EtOH,24_hrs,106,102,Model,6
89,Ctrl,female,55,9,5,0.213,EtOH,24_hrs,115,87,Model,6
90,Ctrl,female,55,9,5,0.203,EtOH,24_hrs,89,118,Model,6
92,Ctrl,female,55,9,5,0.23,EtOH,24_hrs,94,101,Model,6
93,Ctrl,female,55,9,5,0.203,EtOH,24_hrs,88,115,Model,6
94,Alc,female,55,9,5,0.207,EtOH,24_hrs,111,95,Model,6
97,Alc,female,55,9,5,0.144,EtOH,24_hrs,119,119,Model,6
99,Alc,female,55,9,5,0.242,EtOH,24_hrs,123,76,Model,6
101,Alc,male,55,9,5,0.326,EtOH,24_hrs,101,95,Model,6
102,Ctrl,male,55,9,5,0.256,EtOH,24_hrs,119,78,Model,6
